timestamp,device_id,moisture_level,temperature,signal_strength,zone,battery_level
2023-10-01 00:00:00,DEV_001,60.5,27.2,87,Agriculture_East,95
2023-10-01 01:00:00,DEV_002,60.4,27.3,75,Agriculture_West,93
2023-10-01 02:00:00,DEV_003,60.5,27.0,75,Agriculture_North,91
2023-10-01 03:00:00,DEV_001,60.2,27.0,77,Agriculture_East,95
2023-10-01 04:00:00,DEV_002,61.3,27.0,87,Agriculture_West,93
2023-10-01 05:00:00,DEV_003,60.6,27.4,83,Agriculture_North,91
2023-10-01 06:00:00,DEV_001,61.8,27.1,75,Agriculture_East,95
2023-10-01 07:00:00,DEV_002,61.7,27.2,82,Agriculture_West,93
2023-10-01 08:00:00,DEV_003,62.3,27.4,87,Agriculture_North,91
2023-10-01 09:00:00,DEV_001,62.0,27.5,80,Agriculture_East,95
2023-10-01 10:00:00,DEV_002,61.9,27.4,86,Agriculture_West,93
2023-10-01 11:00:00,DEV_003,62.2,27.6,83,Agriculture_North,91
2023-10-01 12:00:00,DEV_001,63.4,27.7,89,Agriculture_East,95
2023-10-01 13:00:00,DEV_002,63.2,27.5,81,Agriculture_West,93
2023-10-01 14:00:00,DEV_003,63.0,27.5,75,Agriculture_North,91
2023-10-01 15:00:00,DEV_001,63.7,28.1,79,Agriculture_East,95
2023-10-01 16:00:00,DEV_002,64.3,28.3,79,Agriculture_West,93
2023-10-01 17:00:00,DEV_003,63.6,28.1,83,Agriculture_North,91
2023-10-01 18:00:00,DEV_001,64.6,28.0,81,Agriculture_East,95
2023-10-01 19:00:00,DEV_002,63.8,27.9,85,Agriculture_West,93
2023-10-01 20:00:00,DEV_003,64.1,28.1,81,Agriculture_North,91
2023-10-01 21:00:00,DEV_001,65.0,28.2,76,Agriculture_East,95
2023-10-01 22:00:00,DEV_002,65.2,28.4,86,Agriculture_West,93
2023-10-01 23:00:00,DEV_003,64.5,28.2,77,Agriculture_North,91
2023-10-02 00:00:00,DEV_001,65.0,28.8,76,Agriculture_East,95
2023-10-02 01:00:00,DEV_002,65.3,28.8,81,Agriculture_West,93
2023-10-02 02:00:00,DEV_003,65.8,28.8,80,Agriculture_North,91
2023-10-02 03:00:00,DEV_001,66.0,28.3,80,Agriculture_East,95
2023-10-02 04:00:00,DEV_002,65.4,28.4,82,Agriculture_West,93
2023-10-02 05:00:00,DEV_003,65.0,28.8,81,Agriculture_North,91
2023-10-02 06:00:00,DEV_001,65.2,28.6,89,Agriculture_East,95
2023-10-02 07:00:00,DEV_002,66.3,28.7,82,Agriculture_West,93
2023-10-02 08:00:00,DEV_003,65.4,29.0,85,Agriculture_North,91
2023-10-02 09:00:00,DEV_001,65.7,28.6,80,Agriculture_East,95
2023-10-02 10:00:00,DEV_002,66.4,28.9,75,Agriculture_West,93
2023-10-02 11:00:00,DEV_003,65.7,29.2,89,Agriculture_North,91
2023-10-02 12:00:00,DEV_001,65.4,28.9,76,Agriculture_East,95
2023-10-02 13:00:00,DEV_002,65.5,28.7,77,Agriculture_West,93
2023-10-02 14:00:00,DEV_003,65.6,29.3,89,Agriculture_North,91
2023-10-02 15:00:00,DEV_001,65.7,29.1,81,Agriculture_East,95
2023-10-02 16:00:00,DEV_002,66.3,29.2,83,Agriculture_West,93
2023-10-02 17:00:00,DEV_003,66.1,29.1,83,Agriculture_North,91
2023-10-02 18:00:00,DEV_001,65.9,29.2,79,Agriculture_East,95
2023-10-02 19:00:00,DEV_002,66.2,29.2,82,Agriculture_West,93
2023-10-02 20:00:00,DEV_003,66.2,29.1,83,Agriculture_North,91
2023-10-02 21:00:00,DEV_001,66.0,29.7,84,Agriculture_East,95
2023-10-02 22:00:00,DEV_002,65.4,29.1,84,Agriculture_West,93
2023-10-02 23:00:00,DEV_003,66.1,29.3,89,Agriculture_North,91
2023-10-03 00:00:00,DEV_001,65.0,29.8,75,Agriculture_East,95
2023-10-03 01:00:00,DEV_002,65.0,29.8,83,Agriculture_West,93
2023-10-03 02:00:00,DEV_003,65.8,29.4,81,Agriculture_North,91
2023-10-03 03:00:00,DEV_001,64.5,29.6,88,Agriculture_East,95
2023-10-03 04:00:00,DEV_002,65.1,29.9,87,Agriculture_West,93
2023-10-03 05:00:00,DEV_003,64.5,29.9,85,Agriculture_North,91
2023-10-03 06:00:00,DEV_001,64.8,29.5,78,Agriculture_East,95
2023-10-03 07:00:00,DEV_002,65.0,29.4,81,Agriculture_West,93
2023-10-03 08:00:00,DEV_003,64.5,30.0,88,Agriculture_North,91
2023-10-03 09:00:00,DEV_001,64.7,29.5,75,Agriculture_East,95
2023-10-03 10:00:00,DEV_002,63.9,29.8,83,Agriculture_West,93
2023-10-03 11:00:00,DEV_003,64.2,29.5,78,Agriculture_North,91
2023-10-03 12:00:00,DEV_001,63.7,29.8,83,Agriculture_East,95
2023-10-03 13:00:00,DEV_002,63.2,29.5,82,Agriculture_West,93
2023-10-03 14:00:00,DEV_003,63.7,30.3,87,Agriculture_North,91
2023-10-03 15:00:00,DEV_001,63.3,29.8,77,Agriculture_East,95
2023-10-03 16:00:00,DEV_002,62.2,30.0,84,Agriculture_West,93
2023-10-03 17:00:00,DEV_003,62.8,29.9,84,Agriculture_North,91
2023-10-03 18:00:00,DEV_001,62.5,29.7,80,Agriculture_East,95
2023-10-03 19:00:00,DEV_002,62.6,29.6,81,Agriculture_West,93
2023-10-03 20:00:00,DEV_003,62.3,29.9,85,Agriculture_North,91
2023-10-03 21:00:00,DEV_001,61.2,29.7,84,Agriculture_East,95
2023-10-03 22:00:00,DEV_002,61.7,29.8,86,Agriculture_West,93
2023-10-03 23:00:00,DEV_003,61.0,30.4,82,Agriculture_North,91
